Rank,Name,Current club,Stints,Games,Career Elo ⌀,Total Elo +/-,Avg Elo +/-,Coach Rating
420,Manuel Machado,none (since 2021-06-30),13,469,1511,-56,-4,1481
421,Ioan Sabău,Universitatea Cluj,6,168,1355,+217,+36,1481
422,Luca D'Angelo,Spezia,3,177,1433,+72,+24,1480
423,Roman Grygorchuk,Neftçi,11,300,1291,+346,+31,1480
424,João Pedro,none (since 2024-03-19),3,120,1465,+20,+7,1478
425,Oleksandr Ryabokon,none (since 2022-06-30),3,193,1380,+146,+49,1478
426,Roberto Venturato,none (since 2022-10-08),2,239,1438,+52,+26,1477
427,Henk Fraser,Waalwijk,5,294,1420,+96,+19,1477
428,Roberto Breda,none (since 2024-06-30),12,300,1410,+123,+10,1477
429,Alan Pardew,none (since 2023-02-05),10,570,1585,-198,-20,1476
430,Edward Sturing,none (since 2024-06-30),6,176,1504,-48,-8,1475
431,Marc Brys,none (since 2023-10-12),6,366,1440,+59,+10,1475
432,Augustin Chromý,none (since 2022-06-30),1,270,1388,+86,+86,1475
433,Åge Hareide,none (since 2022-12-31),11,724,1362,+203,+18,1473
434,Luka Elsner,Reims,7,283,1402,+124,+18,1473
435,José Mota,Farense,11,460,1439,+61,+6,1473
436,Liviu Ciobotariu,Botosani,10,231,1350,+222,+22,1473
437,Erol Bulut,Cardiff,4,170,1441,+49,+12,1472
438,Chris Coleman,none (since 2023-10-10),5,365,1532,-99,-20,1472
439,Çağdaş Atan,Başakşehir,3,126,1463,+12,+4,1471
440,Mehmet Özdilek,none (since 2020-11-30),10,301,1443,+49,+5,1470
441,Elyaniv Barda,none (since 2024-06-30),2,103,1503,-45,-22,1470
442,Kent Nielsen,Silkeborg,5,577,1384,+142,+28,1469
443,Miroslav Koubek,Viktoria Plzeň,9,327,1413,+102,+11,1469
444,Ilian Iliev,Черно море,6,496,1248,+378,+63,1468
445,Jacek Magiera,Śląsk,3,135,1414,+80,+27,1468
446,Fabrizio Castori,none (since 2024-03-12),15,649,1444,+44,+3,1467
447,Fabio Celestini,Basel,5,215,1415,+88,+18,1467
448,Václav Jílek,none (since 2024-02-25),4,200,1383,+134,+33,1467
449,Massimo Rastelli,none (since 2021-10-16),6,231,1458,+15,+3,1466
450,Pavel Hapal,Banik Ostrava,7,249,1427,+70,+10,1466
451,Felice Mazzù,none (since 2024-03-20),4,331,1486,-32,-8,1466
452,Aleksandr Tarkhanov,none (since 2021-04-09),10,450,1391,+137,+14,1466
453,Leo Grozavu,none (since 2021-09-28),3,188,1364,+154,+51,1466
454,Luis César,none (since 2021-04-19),11,456,1531,-121,-11,1465
455,Omar Daf,Amiens,4,200,1386,+126,+32,1465
