"","League","Team","Season","Gen..Role","DAVIES_TOTAL","DAVIES_weighted","League_DAVIES","Raw_League_DAVIES","SD_League","Raw_SD_League","Z"
"2571","Eredivisie","AZ Alkmaar","2021-2022","Central Def",-0.0600000000000001,1.05944579879733,1.04802638763472,1.26611111111111,1.39325903148158,4.38598588942352,0.00819618671373344
"2572","Eredivisie","AZ Alkmaar","2021-2022","Creator",0.44,0.44,1.16699589108178,1.07117647058824,1.66491113263373,2.68661469686514,-0.436657474883806
"2573","Eredivisie","AZ Alkmaar","2021-2022","Deep Midfielder",0.92,0.92,0.398917247045789,-0.31375,1.62768366922632,2.28456815758836,0.320137605854272
"2574","Eredivisie","AZ Alkmaar","2021-2022","Dribbler",5.83,3.70795676574517,1.2345160841526,1.74705882352941,2.30160930787128,5.97831577945022,1.0746570554497
"2575","Eredivisie","AZ Alkmaar","2021-2022","Finisher",4.81,4.81,1.8341620974316,1.88888888888889,2.14804804852968,4.07769815241666,1.38536840672877
"2576","Eredivisie","AZ Alkmaar","2021-2022","Midfielder",5.48,2.19906026716372,0.534740943702465,0.344117647058824,1.81652416626949,3.72146318472911,0.916210945257715
"2577","Eredivisie","AZ Alkmaar","2021-2022","Wide Def",2.23,1.06959326579261,0.58325485249355,-0.256111111111111,1.42804121579335,4.84291980340602,0.340563289014649
"2578","Eredivisie","AZ Alkmaar","2022-2023","Central Def",1.25,1.47807947019868,0.957334019131449,-0.0416666666666667,1.26421090417545,4.35913543775665,0.411913431016377
"2579","Eredivisie","AZ Alkmaar","2022-2023","Creator",-1.35,-0.405759717314488,0.645929350323544,-0.249411764705882,1.41279781750858,3.05220918063506,-0.744401679139515
"2580","Eredivisie","AZ Alkmaar","2022-2023","Deep Midfielder",2.82,2.82,0.483872127879835,0.885294117647059,1.95795058347114,3.57421690312553,1.19314955742068
"2581","Eredivisie","AZ Alkmaar","2022-2023","Dribbler",3.3,1.72462343096234,1.42137431465348,2.60111111111111,2.18284474378213,7.09114766193729,0.138923813602716
"2582","Eredivisie","AZ Alkmaar","2022-2023","Finisher",2.62,1.76303010471204,1.63929966194423,1.57888888888889,1.75256747424293,3.45252148076785,0.0705995315936444
"2583","Eredivisie","AZ Alkmaar","2022-2023","Midfielder",4.34,5.29507392075695,1.11697919521269,1.20294117647059,2.34262678135098,2.91798039041107,1.78350847809175
"2584","Eredivisie","AZ Alkmaar","2022-2023","Wide Def",4.75,2.56000178539546,1.36526949468126,1.26222222222222,1.08456391061802,3.67969556853881,1.1015785045193
"2585","Eredivisie","AZ Alkmaar","2023-2024","Central Def",0.81,0.390988182559087,0.990208459454057,0.681111111111111,1.3675589058328,3.44746264560045,-0.438167799821436
"2586","Eredivisie","AZ Alkmaar","2023-2024","Creator",-1.08,-1.08,0.896808292389354,0.974666666666667,1.40132875700515,2.28427502305488,-1.41066704191105
"2587","Eredivisie","AZ Alkmaar","2023-2024","Deep Midfielder",1.45,1.64600291757841,0.743660659010934,0.595294117647059,1.55949378476476,2.67426652945966,0.578612282641184
"2588","Eredivisie","AZ Alkmaar","2023-2024","Dribbler",-5.83,-0.332648790058862,0.941052813701439,0.705,1.17635810428189,4.26600412288486,-1.08274988638586
"2589","Eredivisie","AZ Alkmaar","2023-2024","Finisher",8.16,4.52517819706499,1.49617516271192,1.34444444444444,2.26444486768208,4.67568708033404,1.33763602619904
"2590","Eredivisie","AZ Alkmaar","2023-2024","Midfielder",0.26,0.681786174323744,0.465437196446878,0.241875,1.01638196288145,1.52309867813393,0.212861882420184
"2591","Eredivisie","AZ Alkmaar","2023-2024","Wide Def",4.49,2.2675960458324,0.774423681334841,0.710555555555556,1.11767451765745,2.88642965335912,1.3359635036031
"2592","Eredivisie","Ajax","2019-2020","Central Def",5.25,2.60902639864374,0.807158967595894,0.221111111111111,0.957134293225606,3.55293563606026,1.88256490630529
"2593","Eredivisie","Ajax","2019-2020","Creator",11.17,5.45069034090909,1.56996913579664,1.57944444444444,2.01724214215492,3.14022567982963,1.92377559640256
"2594","Eredivisie","Ajax","2019-2020","Deep Midfielder",3.36,3.31803861003861,0.423440132425316,0.3,1.60846314980816,1.90088137452078,1.79960509381799
"2595","Eredivisie","Ajax","2019-2020","Dribbler",4.11,2.75644569816643,0.802201312600038,0.395555555555555,1.71046153890458,3.33417459972298,1.14252460000821
"2596","Eredivisie","Ajax","2019-2020","Finisher",9.72,5.16721940815783,1.52315732153528,1.655,1.71800591482469,3.1540417580883,2.12109984906216
"2597","Eredivisie","Ajax","2019-2020","Midfielder",-2.04,-0.630126019273536,0.767141419387978,0.621764705882353,1.38288779320324,2.33645360347182,-1.0103982734745
"2598","Eredivisie","Ajax","2019-2020","Wide Def",4.98,2.31123998114097,1.02091525656285,1.17444444444444,0.989368028829235,2.58232959627365,1.30419084403306
"2599","Eredivisie","Ajax","2020-2021","Central Def",10.14,2.57699901560962,0.635110759600049,0.292222222222222,1.04692764678806,4.91127700604083,1.854844756433
"2600","Eredivisie","Ajax","2020-2021","Creator",-0.21,-0.21,0.913416339765245,0.741666666666667,2.327026385175,4.03468236230634,-0.482769059655832
"2601","Eredivisie","Ajax","2020-2021","Deep Midfielder",3.03,3.03,0.811121471301034,0.375882352941177,1.5152238855051,3.16276789146692,1.46438988318832
"2602","Eredivisie","Ajax","2020-2021","Dribbler",16.73,5.66116857927913,1.40467431030696,2.61176470588235,2.48422417594933,6.18262912854851,1.71340988876158
"2603","Eredivisie","Ajax","2020-2021","Finisher",5.02,2.18074872376631,1.84482048177617,2.05944444444444,1.94182855008826,5.00256695545306,0.172995830128705
"2604","Eredivisie","Ajax","2020-2021","Midfielder",12.27,5.12992871145963,1.2639736592434,1.925625,2.18055932220702,4.71217284452371,1.77291899965526
"2605","Eredivisie","Ajax","2020-2021","Wide Def",5.61,2.01861522633745,0.764955192823394,-0.055,0.955111501109132,3.11065011173662,1.31257976901988
"2606","Eredivisie","Ajax","2021-2022","Central Def",10.71,4.33206251135744,1.04802638763472,1.26611111111111,1.39325903148158,4.38598588942352,2.35708942093166
"2607","Eredivisie","Ajax","2021-2022","Creator",6.97,4.53248450870463,1.16699589108178,1.07117647058824,1.66491113263373,2.68661469686514,2.02142237603936
"2608","Eredivisie","Ajax","2021-2022","Deep Midfielder",2.1,2.1,0.398917247045789,-0.31375,1.62768366922632,2.28456815758836,1.04509419435459
"2609","Eredivisie","Ajax","2021-2022","Dribbler",13.01,6.89776695245518,1.2345160841526,1.74705882352941,2.30160930787128,5.97831577945022,2.46056133373062
"2610","Eredivisie","Ajax","2021-2022","Finisher",7.94,7.12226153846154,1.8341620974316,1.88888888888889,2.14804804852968,4.07769815241666,2.46181617987996
"2611","Eredivisie","Ajax","2021-2022","Midfielder",2.97,1.33401448913315,0.534740943702465,0.344117647058824,1.81652416626949,3.72146318472911,0.440001603211322
"2612","Eredivisie","Ajax","2021-2022","Wide Def",14.56,5.55141603817146,0.58325485249355,-0.256111111111111,1.42804121579335,4.84291980340602,3.47900405865937
"2613","Eredivisie","Ajax","2022-2023","Central Def",12.76,4.51150628656791,0.957334019131449,-0.0416666666666667,1.26421090417545,4.35913543775665,2.81137605734747
"2614","Eredivisie","Ajax","2022-2023","Creator",4.76,4.76,0.645929350323544,-0.249411764705882,1.41279781750858,3.05220918063506,2.91200241017605
